width 1600
height 1200

97	1189

90	1188

131	1184

85	1184
87	1187

139	1182
142	1185
139	1190
149	1188

105	1181
108	1188
109	1182

12	1181
10	1185

74	1180
76	1181

18	1182
19	1186
24	1183
26	1188
37	1186
37	1182
33	1180

1536	1179
1541	1178

1467	1167
1467	1185
1470	1188
1585	1188
1588	1185
1587	1165
1582	1169
1474	1169
1470	1165

1587	862

962	856
959	860
963	864
965	858

15	855
18	855

75	852
76	858
78	855

440	850
443	852
441	855
438	852

945	846
947	849
944	853
942	849

94	846
91	847
88	858
94	856

1134	846
1128	854
1130	864
1137	868
1143	863
1147	868
1151	868
1154	865
1153	860
1149	857
1142	859
1139	847

1208	842
1207	846

1597	856
1593	860
1589	859
1588	848
1575	853
1574	861
1578	871
1584	864
1589	871
1596	870

944	840
943	844

1228	837
1233	846
1225	850
1219	843

106	837
103	855
108	857
110	848
109	839

1516	835
1522	841
1517	856
1498	859
1498	847
1509	836

1093	832
1098	839
1093	846
1089	846
1085	838

129	837
132	832
138	833
133	840

1579	834
1586	840
1590	835
1586	831

828	833
836	825
842	824
847	836
844	840
830	837

1448	821
1451	820
1453	824
1450	826

327	820
335	825
335	829
328	834
325	826

1050	821
1054	819
1060	823
1053	827

343	818
348	822
345	827
341	824

313	816
319	819
317	825
310	822

788	819
786	824
779	823
771	829
767	826
773	816
785	815

753	815
759	819
758	830
753	830
749	826

714	816
720	816
724	823
730	826
726	834
713	824

498	815
505	828
496	839
493	836
492	824
494	817

281	814
283	820
280	819

1132	814
1129	821
1135	825
1136	833
1140	834
1145	830
1145	824

486	820
480	819
475	824
476	828
485	830
482	835
462	836
465	824
472	815
477	813

1398	812
1410	812
1413	815
1406	824
1408	831
1405	835
1396	831
1390	824
1390	818

1098	812
1098	817

523	810
526	814
526	829
518	833
514	827
515	817

406	807
408	815
405	818
398	818
396	813

217	807
220	808

4	804
7	803
8	806
5	807

748	804
756	798
768	801
767	806
757	810

132	799
135	800

1398	802
1402	797
1408	800
1404	804

1387	801
1385	836
1382	839
1373	837
1371	832
1365	829
1360	833
1346	830
1340	832
1341	819
1362	822
1371	818
1368	803
1372	798
1381	797

1208	810
1211	807
1216	808
1222	799
1251	799
1270	818
1270	827
1266	833
1252	825
1255	816
1253	812
1248	821
1249	835
1246	842
1238	847
1234	845
1239	833
1236	819
1243	810
1242	806
1238	805
1231	813
